fips,geo_name,individual_party,is_incumbent,is_winner,name,rank,reporting_pct,state,vote_pct,votes
8,8th District Election,republican,False,False,S. Mills,2,100.0,Minnesota,49.7,177095.0
1,1st District Election,republican,True,True,T. Kelly,1,100.0,Mississippi,68.8,203142.0
1,1st District Election,democrat,False,False,J. Owens,2,100.0,Mississippi,27.8,82133.0
1,1st District Election,independent_or_other,False,False,C. Wilson,3,100.0,Mississippi,2.1,6070.0
1,1st District Election,independent_or_other,False,False,C. Toole,4,100.0,Mississippi,1.3,3742.0
2,2nd District Election,democrat,True,True,B. Thompson,1,100.0,Mississippi,66.8,181108.0
2,2nd District Election,republican,False,False,J. Bouie,2,100.0,Mississippi,29.4,79773.0
2,2nd District Election,independent_or_other,False,False,T. Ray,3,100.0,Mississippi,2.4,6622.0
2,2nd District Election,independent_or_other,False,False,J. McLeod,4,100.0,Mississippi,1.3,3623.0
3,3rd District Election,republican,True,True,G. Harper,1,100.0,Mississippi,66.3,201280.0
3,3rd District Election,democrat,False,False,D. Quinn,2,100.0,Mississippi,30.3,91992.0
3,3rd District Election,independent_or_other,False,False,R. Gerrard,3,100.0,Mississippi,2.8,8434.0
3,3rd District Election,independent_or_other,False,False,L. Sheets,4,100.0,Mississippi,0.7,2020.0
4,4th District Election,republican,True,True,S. Palazzo,1,99.7,Mississippi,65.2,174783.0
4,4th District Election,democrat,False,False,M. Gladney,2,99.7,Mississippi,27.7,74176.0
4,4th District Election,independent_or_other,False,False,R. McCluskey,3,99.7,Mississippi,5.3,14212.0
4,4th District Election,independent_or_other,False,False,S. O'Hara,4,99.7,Mississippi,1.9,5063.0
1,1st District Election,democrat,True,True,L. Clay,1,100.0,Missouri,75.5,231604.0
1,1st District Election,republican,False,False,S. Bailey,2,100.0,Missouri,20.0,61252.0
1,1st District Election,independent_or_other,False,False,R. Cunningham,3,100.0,Missouri,4.5,13954.0
2,2nd District Election,republican,True,True,A. Wagner,1,100.0,Missouri,58.6,238826.0
2,2nd District Election,democrat,False,False,B. Otto,2,100.0,Missouri,37.6,153331.0
2,2nd District Election,independent_or_other,False,False,J. Higgins,3,100.0,Missouri,2.9,11621.0
2,2nd District Election,independent_or_other,False,False,D. Arnold,4,100.0,Missouri,0.9,3839.0
3,3rd District Election,republican,True,True,B. Luetkemeyer,1,100.0,Missouri,67.8,248880.0
3,3rd District Election,democrat,False,False,K. Miller,2,100.0,Missouri,27.9,102484.0
3,3rd District Election,independent_or_other,False,False,D. Hogan,3,100.0,Missouri,3.2,11906.0
3,3rd District Election,independent_or_other,False,False,D. Simmons,4,100.0,Missouri,1.0,3586.0
4,4th District Election,republican,True,True,V. Hartzler,1,99.7,Missouri,67.8,225034.0
4,4th District Election,democrat,False,False,G. Christensen,2,99.7,Missouri,27.8,92385.0
4,4th District Election,independent_or_other,False,False,M. Bliss,3,99.7,Missouri,4.3,14355.0
5,5th District Election,democrat,True,True,E. Cleaver,1,100.0,Missouri,58.4,185494.0
5,5th District Election,republican,False,False,J. Turk,2,100.0,Missouri,38.5,122367.0
5,5th District Election,independent_or_other,False,False,R. Welborn,3,100.0,Missouri,3.0,9594.0
6,6th District Election,republican,True,True,S. Graves,1,100.0,Missouri,68.1,236938.0
6,6th District Election,democrat,False,False,D. Blackwell,2,100.0,Missouri,28.3,98588.0
6,6th District Election,independent_or_other,False,False,R. Monchil,3,100.0,Missouri,2.3,8051.0
6,6th District Election,independent_or_other,False,False,M. Diel,4,100.0,Missouri,1.2,4202.0
7,7th District Election,republican,True,True,B. Long,1,100.0,Missouri,67.6,228001.0
7,7th District Election,democrat,False,False,G. Williams,2,100.0,Missouri,27.4,92390.0
7,7th District Election,independent_or_other,False,False,B. Brixey,3,100.0,Missouri,5.1,17076.0
8,8th District Election,republican,True,True,J. Smith,1,100.0,Missouri,74.4,229648.0
8,8th District Election,democrat,False,False,D. Cowell,2,100.0,Missouri,22.7,69949.0
8,8th District Election,independent_or_other,False,False,J. Shell,3,100.0,Missouri,2.9,9059.0
1,1st District Election,republican,True,True,R. Zinke,1,100.0,Montana,56.3,280472.0
1,1st District Election,democrat,False,False,D. Juneau,2,100.0,Montana,40.5,201758.0
1,1st District Election,independent_or_other,False,False,R. Breckenridge,3,100.0,Montana,3.2,15949.0
1,1st District Election,republican,True,True,J. Fortenberry,1,100.0,Nebraska,69.6,187258.0
1,1st District Election,democrat,False,False,D. Wik,2,100.0,Nebraska,30.4,81939.0
2,2nd District Election,republican,False,True,D. Bacon,1,100.0,Nebraska,49.4,134291.0
2,2nd District Election,democrat,True,False,B. Ashford,2,100.0,Nebraska,47.3,128739.0
2,2nd District Election,independent_or_other,False,False,S. Laird,3,100.0,Nebraska,3.3,9057.0
3,3rd District Election,republican,True,True,A. Smith,1,100.0,Nebraska,,
1,1st District Election,democrat,True,True,D. Titus,1,100.0,Nevada,61.8,116045.0
1,1st District Election,republican,False,False,M. Perry,2,100.0,Nevada,28.8,54053.0
1,1st District Election,independent_or_other,False,False,R. D'Silva,3,100.0,Nevada,7.4,13806.0
1,1st District Election,independent_or_other,False,False,K. Bakari,4,100.0,Nevada,2.0,3722.0
2,2nd District Election,republican,True,True,M. Amodei,1,100.0,Nevada,58.3,182452.0
2,2nd District Election,democrat,False,False,C. Evans,2,100.0,Nevada,36.9,115395.0
2,2nd District Election,independent_or_other,False,False,J. Everhart,3,100.0,Nevada,2.8,8660.0
2,2nd District Election,independent_or_other,False,False,D. Knight,4,100.0,Nevada,2.0,6204.0
3,3rd District Election,democrat,False,True,J. Rosen,1,100.0,Nevada,47.2,146653.0
3,3rd District Election,republican,False,False,D. Tarkanian,2,100.0,Nevada,46.0,142726.0
3,3rd District Election,independent_or_other,False,False,W. Markowitz,3,100.0,Nevada,3.7,11580.0
3,3rd District Election,independent_or_other,False,False,D. Goossen,4,100.0,Nevada,3.1,9551.0
4,4th District Election,democrat,False,True,R. Kihuen,1,100.0,Nevada,48.5,128680.0
4,4th District Election,republican,True,False,C. Hardy,2,100.0,Nevada,44.5,118220.0
4,4th District Election,independent_or_other,False,False,S. Brown,3,100.0,Nevada,3.8,10184.0
4,4th District Election,independent_or_other,False,False,M. Little,4,100.0,Nevada,3.1,8307.0
1,1st District Election,democrat,False,True,C. Shea-Porter,1,100.0,New Hampshire,44.2,161828.0
1,1st District Election,republican,True,False,F. Guinta,2,100.0,New Hampshire,42.9,157011.0
1,1st District Election,independent_or_other,False,False,S. O'Connor,3,100.0,New Hampshire,9.4,34612.0
1,1st District Election,independent_or_other,False,False,R. Lombardo,4,100.0,New Hampshire,1.9,6842.0
1,1st District Election,independent_or_other,False,False,B. Kelly,5,100.0,New Hampshire,1.7,6046.0
2,2nd District Election,democrat,True,True,A. Kuster,1,100.0,New Hampshire,49.8,174386.0
2,2nd District Election,republican,False,False,J. Lawrence,2,100.0,New Hampshire,45.4,158960.0
2,2nd District Election,independent_or_other,False,False,J. Babiarz,3,100.0,New Hampshire,4.8,16843.0
1,1st District Election,democrat,True,True,D. Norcross,1,99.4,New Jersey,59.8,178655.0
1,1st District Election,republican,False,False,B. Patterson,2,99.4,New Jersey,36.9,110235.0
1,1st District Election,independent_or_other,False,False,S. Tomaszewski,3,99.4,New Jersey,1.8,5365.0
1,1st District Election,independent_or_other,False,False,W. Sihr,4,99.4,New Jersey,0.8,2352.0
1,1st District Election,independent_or_other,False,False,M. Berman,5,99.4,New Jersey,0.6,1916.0
2,2nd District Election,republican,True,True,F. LoBiondo,1,100.0,New Jersey,59.4,167816.0
2,2nd District Election,democrat,False,False,D. Cole,2,100.0,New Jersey,37.1,104726.0
2,2nd District Election,independent_or_other,False,False,J. Ordille,3,100.0,New Jersey,1.3,3562.0
2,2nd District Election,independent_or_other,False,False,J. Keenan,4,100.0,New Jersey,0.9,2490.0
2,2nd District Election,independent_or_other,False,False,E. Beechwood,5,100.0,New Jersey,0.5,1322.0
2,2nd District Election,independent_or_other,False,False,S. Fenichel,6,100.0,New Jersey,0.5,1460.0
2,2nd District Election,independent_or_other,False,False,G. Franco,7,100.0,New Jersey,0.4,1159.0
3,3rd District Election,republican,True,True,T. MacArthur,1,99.1,New Jersey,59.5,177522.0
3,3rd District Election,democrat,False,False,F. LaVergne,2,99.1,New Jersey,38.6,115212.0
3,3rd District Election,independent_or_other,False,False,L. Berlinski,3,99.1,New Jersey,1.9,5541.0
4,4th District Election,republican,True,True,C. Smith,1,100.0,New Jersey,63.7,206137.0
4,4th District Election,democrat,False,False,L. Phillipson,2,100.0,New Jersey,33.5,108373.0
4,4th District Election,independent_or_other,False,False,H. Schroeder,3,100.0,New Jersey,1.8,5684.0
4,4th District Election,independent_or_other,False,False,J. Marcus,4,100.0,New Jersey,1.0,3168.0
5,5th District Election,democrat,False,True,J. Gottheimer,1,100.0,New Jersey,50.5,156863.0
5,5th District Election,republican,True,False,S. Garrett,2,100.0,New Jersey,47.2,146643.0
